date: 1623399111.05{ topic:  fablab/weather-thermo , message:  26.35 } 
date: 1623399115.4{ topic:  fablab/weather-thermo , message:  26.36 } 
date: 1623399120.33{ topic:  fablab/weather-thermo , message:  26.34 } 
date: 1623399125.53{ topic:  fablab/weather-thermo , message:  26.34 } 
date: 1623399130.55{ topic:  fablab/weather-thermo , message:  26.35 } 
date: 1623399135.45{ topic:  fablab/weather-thermo , message:  26.35 } 
date: 1623399140.34{ topic:  fablab/weather-thermo , message:  26.37 } 
date: 1623399145.35{ topic:  fablab/weather-thermo , message:  26.36 } 
date: 1623399150.5{ topic:  fablab/weather-thermo , message:  26.36 } 
date: 1623399155.47{ topic:  fablab/weather-thermo , message:  26.38 } 
date: 1623399160.37{ topic:  fablab/weather-thermo , message:  26.38 } 
date: 1623399165.37{ topic:  fablab/weather-thermo , message:  26.40 } 
date: 1623399170.56{ topic:  fablab/weather-thermo , message:  26.42 } 
date: 1623399175.38{ topic:  fablab/weather-thermo , message:  26.42 } 
date: 1623399180.39{ topic:  fablab/weather-thermo , message:  26.44 } 
date: 1623399185.39{ topic:  fablab/weather-thermo , message:  26.44 } 
date: 1623399190.51{ topic:  fablab/weather-thermo , message:  26.43 } 
date: 1623399195.4{ topic:  fablab/weather-thermo , message:  26.42 } 
date: 1623399200.41{ topic:  fablab/weather-thermo , message:  26.41 } 
date: 1623399205.41{ topic:  fablab/weather-thermo , message:  26.39 } 
date: 1623399210.57{ topic:  fablab/weather-thermo , message:  26.38 } 
date: 1623399215.48{ topic:  fablab/weather-thermo , message:  26.40 } 
date: 1623399220.7{ topic:  fablab/weather-thermo , message:  26.40 } 
date: 1623399225.44{ topic:  fablab/weather-thermo , message:  26.40 } 
date: 1623399230.52{ topic:  fablab/weather-thermo , message:  26.40 } 
date: 1623399235.54{ topic:  fablab/weather-thermo , message:  26.39 } 
date: 1623399240.65{ topic:  fablab/weather-thermo , message:  26.42 } 
date: 1623399245.56{ topic:  fablab/weather-thermo , message:  26.46 } 
date: 1623399250.58{ topic:  fablab/weather-thermo , message:  26.46 } 
date: 1623399255.47{ topic:  fablab/weather-thermo , message:  26.44 } 
date: 1623399260.47{ topic:  fablab/weather-thermo , message:  26.47 } 
date: 1623399265.48{ topic:  fablab/weather-thermo , message:  26.49 } 
date: 1623399270.54{ topic:  fablab/weather-thermo , message:  26.53 } 
date: 1623399275.49{ topic:  fablab/weather-thermo , message:  26.54 } 
date: 1623399280.66{ topic:  fablab/weather-thermo , message:  26.51 } 
date: 1623399285.5{ topic:  fablab/weather-thermo , message:  26.49 } 
date: 1623399290.79{ topic:  fablab/weather-thermo , message:  26.47 } 
date: 1623399295.71{ topic:  fablab/weather-thermo , message:  26.46 } 
date: 1623399300.62{ topic:  fablab/weather-thermo , message:  26.49 } 
date: 1623399305.52{ topic:  fablab/weather-thermo , message:  26.51 } 
date: 1623399310.75{ topic:  fablab/weather-thermo , message:  26.53 } 
date: 1623399316.07{ topic:  fablab/weather-thermo , message:  26.55 } 
date: 1623399320.68{ topic:  fablab/weather-thermo , message:  26.57 } 
date: 1623399325.59{ topic:  fablab/weather-thermo , message:  26.57 } 
date: 1623399330.55{ topic:  fablab/weather-thermo , message:  26.59 } 
date: 1623399335.65{ topic:  fablab/weather-thermo , message:  26.59 } 
date: 1623399340.63{ topic:  fablab/weather-thermo , message:  26.60 } 
date: 1623399345.57{ topic:  fablab/weather-thermo , message:  26.60 } 
date: 1623399350.86{ topic:  fablab/weather-thermo , message:  26.60 } 
date: 1623399355.78{ topic:  fablab/weather-thermo , message:  26.61 } 
date: 1623399360.69{ topic:  fablab/weather-thermo , message:  26.58 } 
date: 1623399365.81{ topic:  fablab/weather-thermo , message:  26.59 } 
date: 1623399370.72{ topic:  fablab/weather-thermo , message:  26.58 } 
date: 1623399375.63{ topic:  fablab/weather-thermo , message:  26.58 } 
date: 1623399380.85{ topic:  fablab/weather-thermo , message:  26.63 } 
date: 1623399385.86{ topic:  fablab/weather-thermo , message:  26.65 } 
date: 1623399391.08{ topic:  fablab/weather-thermo , message:  26.63 } 
date: 1623399395.65{ topic:  fablab/weather-thermo , message:  26.60 } 
date: 1623399400.81{ topic:  fablab/weather-thermo , message:  26.63 } 
date: 1623399405.63{ topic:  fablab/weather-thermo , message:  26.66 } 
date: 1623399410.73{ topic:  fablab/weather-thermo , message:  26.68 } 
date: 1623399415.95{ topic:  fablab/weather-thermo , message:  26.65 } 
date: 1623399420.96{ topic:  fablab/weather-thermo , message:  26.63 } 
date: 1623399425.77{ topic:  fablab/weather-thermo , message:  26.57 } 
date: 1623399430.89{ topic:  fablab/weather-thermo , message:  26.56 } 
date: 1623399435.67{ topic:  fablab/weather-thermo , message:  26.54 } 
date: 1623399441.02{ topic:  fablab/weather-thermo , message:  26.53 } 
date: 1623399445.93{ topic:  fablab/weather-thermo , message:  26.51 } 
date: 1623399450.84{ topic:  fablab/weather-thermo , message:  26.52 } 
date: 1623399455.69{ topic:  fablab/weather-thermo , message:  26.54 } 
date: 1623399460.77{ topic:  fablab/weather-thermo , message:  26.56 } 
date: 1623399465.7{ topic:  fablab/weather-thermo , message:  26.59 } 
date: 1623399470.9{ topic:  fablab/weather-thermo , message:  26.59 } 
date: 1623399475.81{ topic:  fablab/weather-thermo , message:  26.59 } 
date: 1623399481.03{ topic:  fablab/weather-thermo , message:  26.60 } 
date: 1623399485.94{ topic:  fablab/weather-thermo , message:  26.60 } 
date: 1623399490.86{ topic:  fablab/weather-thermo , message:  26.62 } 
date: 1623399495.77{ topic:  fablab/weather-thermo , message:  26.64 } 
date: 1623399500.99{ topic:  fablab/weather-thermo , message:  26.66 } 
date: 1623399505.9{ topic:  fablab/weather-thermo , message:  26.67 } 
date: 1623399510.81{ topic:  fablab/weather-thermo , message:  26.68 } 
date: 1623399515.75{ topic:  fablab/weather-thermo , message:  26.76 } 
date: 1623399520.82{ topic:  fablab/weather-thermo , message:  26.76 } 
date: 1623399525.76{ topic:  fablab/weather-thermo , message:  26.77 } 
date: 1623399531.07{ topic:  fablab/weather-thermo , message:  26.80 } 
date: 1623399535.98{ topic:  fablab/weather-thermo , message:  26.81 } 
date: 1623399540.9{ topic:  fablab/weather-thermo , message:  26.83 } 
date: 1623399546.12{ topic:  fablab/weather-thermo , message:  26.82 } 
date: 1623399551.03{ topic:  fablab/weather-thermo , message:  26.81 } 
date: 1623399556.04{ topic:  fablab/weather-thermo , message:  26.82 } 
date: 1623399560.95{ topic:  fablab/weather-thermo , message:  26.81 } 
date: 1623399565.86{ topic:  fablab/weather-thermo , message:  26.82 } 
date: 1623399571.08{ topic:  fablab/weather-thermo , message:  26.82 } 
date: 1623399575.82{ topic:  fablab/weather-thermo , message:  26.84 } 
date: 1623399580.83{ topic:  fablab/weather-thermo , message:  26.87 } 
date: 1623399585.83{ topic:  fablab/weather-thermo , message:  26.90 } 
date: 1623399591.04{ topic:  fablab/weather-thermo , message:  26.91 } 
date: 1623399595.95{ topic:  fablab/weather-thermo , message:  26.92 } 
date: 1623399600.88{ topic:  fablab/weather-thermo , message:  26.91 } 
date: 1623399605.85{ topic:  fablab/weather-thermo , message:  26.91 } 
date: 1623399610.99{ topic:  fablab/weather-thermo , message:  26.89 } 
date: 1623399615.91{ topic:  fablab/weather-thermo , message:  26.87 } 
date: 1623399621.12{ topic:  fablab/weather-thermo , message:  26.85 } 
date: 1623399626.04{ topic:  fablab/weather-thermo , message:  26.87 } 
date: 1623399631.05{ topic:  fablab/weather-thermo , message:  26.87 } 
date: 1623399635.88{ topic:  fablab/weather-thermo , message:  26.88 } 
date: 1623399640.94{ topic:  fablab/weather-thermo , message:  26.91 } 
date: 1623399645.89{ topic:  fablab/weather-thermo , message:  26.94 } 
date: 1623399651.0{ topic:  fablab/weather-thermo , message:  26.95 } 
date: 1623399655.92{ topic:  fablab/weather-thermo , message:  26.97 } 
date: 1623399661.06{ topic:  fablab/weather-thermo , message:  26.96 } 
date: 1623399666.05{ topic:  fablab/weather-thermo , message:  26.97 } 
date: 1623399670.96{ topic:  fablab/weather-thermo , message:  26.97 } 
date: 1623399676.18{ topic:  fablab/weather-thermo , message:  26.97 } 
date: 1623399681.09{ topic:  fablab/weather-thermo , message:  26.97 } 
date: 1623399686.0{ topic:  fablab/weather-thermo , message:  26.98 } 
date: 1623399691.22{ topic:  fablab/weather-thermo , message:  26.98 } 
date: 1623399695.95{ topic:  fablab/weather-thermo , message:  27.01 } 
date: 1623399700.95{ topic:  fablab/weather-thermo , message:  26.98 } 
date: 1623399705.96{ topic:  fablab/weather-thermo , message:  27.03 } 
date: 1623399710.97{ topic:  fablab/weather-thermo , message:  27.04 } 
date: 1623399715.99{ topic:  fablab/weather-thermo , message:  27.05 } 
date: 1623399721.06{ topic:  fablab/weather-thermo , message:  27.06 } 
date: 1623399726.12{ topic:  fablab/weather-thermo , message:  27.06 } 
date: 1623399731.03{ topic:  fablab/weather-thermo , message:  27.06 } 
date: 1623399736.25{ topic:  fablab/weather-thermo , message:  27.07 } 
date: 1623399741.16{ topic:  fablab/weather-thermo , message:  27.06 } 
date: 1623399746.07{ topic:  fablab/weather-thermo , message:  27.08 } 
date: 1623399751.29{ topic:  fablab/weather-thermo , message:  27.09 } 
date: 1623399756.01{ topic:  fablab/weather-thermo , message:  27.09 } 
date: 1623399761.07{ topic:  fablab/weather-thermo , message:  27.10 } 
date: 1623399766.02{ topic:  fablab/weather-thermo , message:  27.11 } 
date: 1623399771.25{ topic:  fablab/weather-thermo , message:  27.09 } 
date: 1623399776.47{ topic:  fablab/weather-thermo , message:  27.12 } 
date: 1623399781.06{ topic:  fablab/weather-thermo , message:  27.15 } 
date: 1623399786.29{ topic:  fablab/weather-thermo , message:  27.16 } 
date: 1623399791.21{ topic:  fablab/weather-thermo , message:  27.18 } 
date: 1623399796.06{ topic:  fablab/weather-thermo , message:  27.18 } 
date: 1623399801.06{ topic:  fablab/weather-thermo , message:  27.19 } 
date: 1623399806.07{ topic:  fablab/weather-thermo , message:  27.17 } 
date: 1623399811.16{ topic:  fablab/weather-thermo , message:  27.17 } 
date: 1623399816.08{ topic:  fablab/weather-thermo , message:  27.18 } 
date: 1623399821.08{ topic:  fablab/weather-thermo , message:  27.19 } 
date: 1623399826.09{ topic:  fablab/weather-thermo , message:  27.20 } 
date: 1623399831.1{ topic:  fablab/weather-thermo , message:  27.19 } 
date: 1623399836.1{ topic:  fablab/weather-thermo , message:  27.18 } 
date: 1623399841.11{ topic:  fablab/weather-thermo , message:  27.17 } 
date: 1623399846.16{ topic:  fablab/weather-thermo , message:  27.15 } 
date: 1623399851.37{ topic:  fablab/weather-thermo , message:  27.14 } 
date: 1623399856.29{ topic:  fablab/weather-thermo , message:  27.10 } 
date: 1623399861.2{ topic:  fablab/weather-thermo , message:  27.07 } 
date: 1623399866.42{ topic:  fablab/weather-thermo , message:  27.08 } 
date: 1623399871.43{ topic:  fablab/weather-thermo , message:  27.07 } 
date: 1623399876.14{ topic:  fablab/weather-thermo , message:  27.07 } 
date: 1623399881.21{ topic:  fablab/weather-thermo , message:  27.09 } 
date: 1623399886.15{ topic:  fablab/weather-thermo , message:  27.10 } 
